idFilaPedido;idWebService;idLoja;idCabecPedido;idFilaCliente;empresa;pedidoCliente;pedidoJund;respostaJundPedido;respostaJundEnderecoEntrega;respostaJundItensPedido;respostaJundPedidoSerial;respostaJundConfirmaPagtoPedido;respostaJundRastreamentoPedido;idStatusIntegracao;dataHoraEntradaFila;dataHoraProcessadoPedido;dataHoraProcessadoPedidoSerial;dataHoraProcessadoConfirmaPagtoPedido;ultimaDataHoraRastreamentoPedido;rastreamentoFinalizado;importacaoImeiFinalizada;respostaServiceAtualizacaoPedidoERP;notaFiscal;subId;ultimoStatusRastreamentoPedidoOI;statusSiteIntegracaoAtualizado;reprocessarPedido;ultimoStatusResumidoRastreamentoPedidoOI;engenhariaReversa;pedidoJundDesmembrado;duplicidadeValidada;respostaJundCliente;tipoPagamento;dadosPedidoGravado;importacaoOcorrenciaFinalizada;pedidoJundDesmembradoJaImportado;informacoesValidadas;pedidoLiberadoParaRastreamento;pedidoJundDesmembradoEncontrado;idModoIntegracao;pedidoOiIntegradoSite;chaveUnica;idLojaAntigo;pedidoCancelado
253313;1;16;252755;267046;222;30324918;;CLIENTE [07349104000155] N�O CADASTRADO OU INATIVO.;OK;CLIENTE [07349104000155] N�O CADASTRADO OU INATIVO.;;;;5;2018-08-01 16:36:25.297;2018-08-01 16:35:59.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253312;1;16;252754;268607;222;30407986;15684;OK;OK;OK;;;;4;2018-08-01 16:36:23.457;2018-08-01 16:35:59.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253311;1;38;252753;269301;222;30523622;15683;OK;OK;OK;;;;4;2018-08-01 16:31:45.360;2018-08-01 16:30:56.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253310;1;38;252752;269300;222;30524012;15682;OK;OK;OK;;;;4;2018-08-01 16:31:41.850;2018-08-01 16:30:56.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253309;1;24;252751;269303;29;13200939;;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 16:31:22.210;2018-08-01 16:30:56.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253308;1;24;252750;269302;26;13189521;;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 16:31:19.807;2018-08-01 16:30:56.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253307;1;18;252749;269299;222;30526237;15681;OK;OK;OK;;;;4;2018-08-01 16:21:48.187;2018-08-01 16:20:56.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253306;1;3;252748;269298;29;30470526;177995;OK;OK;OK;;;;4;2018-08-01 16:21:46.907;2018-08-01 16:20:56.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253305;1;32;252747;269297;222;30526225;15680;OK;OK;OK;;;;4;2018-08-01 16:21:44.943;2018-08-01 16:20:55.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253304;1;19;252746;269296;222;30526240;15679;OK;OK;OK;;;;4;2018-08-01 16:21:43.710;2018-08-01 16:20:55.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253303;1;32;252745;269295;222;30526235;15678;OK;OK;OK;;;;4;2018-08-01 16:21:42.150;2018-08-01 16:20:55.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253302;1;18;252744;269294;222;30526236;15677;OK;OK;OK;;;;4;2018-08-01 16:21:40.543;2018-08-01 16:20:55.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253301;1;24;252743;269293;29;13200939;;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 16:16:21.670;2018-08-01 16:15:57.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253300;1;24;252742;269292;26;13189521;;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 16:16:18.920;2018-08-01 16:15:57.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253299;1;19;252741;269291;222;30525858;15676;OK;OK;OK;;;;4;2018-08-01 16:11:38.343;2018-08-01 16:10:51.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253298;1;38;252740;269290;222;30522872;15675;OK;OK;OK;;;;4;2018-08-01 16:11:36.333;2018-08-01 16:10:51.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253297;1;38;252739;269289;222;30523246;15674;OK;OK;OK;;;;4;2018-08-01 16:11:33.167;2018-08-01 16:10:51.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253296;1;24;252738;269288;29;13200939;;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 16:01:27.563;2018-08-01 16:00:49.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253295;1;24;252737;269287;26;13189521;;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 16:01:25.377;2018-08-01 16:00:49.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253294;1;19;252736;269286;222;30480647;15673;OK;OK;OK;;;;4;2018-08-01 15:51:45.493;2018-08-01 15:50:50.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253293;1;34;252735;269285;222;30525494;15672;OK;OK;OK;;;;4;2018-08-01 15:51:44.353;2018-08-01 15:50:50.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253292;1;19;252734;269284;222;30525496;15671;OK;OK;OK;;;;4;2018-08-01 15:51:42.857;2018-08-01 15:50:49.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253291;1;32;252733;269283;222;30525672;15670;OK;OK;OK;;;;4;2018-08-01 15:51:41.420;2018-08-01 15:50:49.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253290;1;3;252732;269282;29;30524739;177943;OK;OK;OK;;;;4;2018-08-01 15:51:40.250;2018-08-01 15:50:49.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253289;1;24;252731;269281;29;13200939;;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 15:46:22.917;2018-08-01 15:45:50.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253288;1;24;252730;269280;26;13189521;;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 15:46:21.637;2018-08-01 15:45:50.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253287;1;34;252729;269279;222;30525495;15669;OK;OK;OK;;;;4;2018-08-01 15:41:38.747;2018-08-01 15:40:46.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253286;1;41;252728;269278;26;30524657;504407;OK;OK;OK;;;;4;2018-08-01 15:36:26.533;2018-08-01 15:35:47.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253285;1;3;252727;269277;29;30518934;177938;OK;OK;OK;;;;4;2018-08-01 15:36:25.127;2018-08-01 15:35:46.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253284;1;38;252726;269274;222;30521393;15668;OK;OK;OK;;;;4;2018-08-01 15:31:48.963;2018-08-01 15:30:46.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253283;1;38;252725;269273;222;30521020;15667;OK;OK;OK;;;;4;2018-08-01 15:31:47.450;2018-08-01 15:30:46.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253282;1;19;252724;269272;222;30525124;15666;OK;OK;OK;;;;4;2018-08-01 15:31:44.393;2018-08-01 15:30:46.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253281;1;24;252723;269276;29;13200939;;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 15:31:25.343;2018-08-01 15:30:46.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253280;1;24;252722;269275;26;13189521;;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 15:31:23.207;2018-08-01 15:30:46.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253279;1;16;252721;264392;222;30195266;15665;OK;OK;OK;;;;4;2018-08-01 15:26:26.750;2018-08-01 15:25:44.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253278;1;16;252720;269271;222;30504569;15664;OK;OK;OK;;;;4;2018-08-01 15:21:42.477;2018-08-01 15:20:42.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253277;1;32;252719;269270;222;30525121;15663;OK;OK;OK;;;;4;2018-08-01 15:21:40.993;2018-08-01 15:20:42.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253276;1;38;252718;269269;222;30525125;15662;OK;OK;OK;;;;4;2018-08-01 15:21:33.350;2018-08-01 15:20:42.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253275;1;24;252717;269268;29;13200939;;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 15:16:24.700;2018-08-01 15:15:43.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253274;1;24;252716;269267;26;13189521;;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 15:16:22.610;2018-08-01 15:15:43.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253273;1;16;252715;264392;222;30195266;;NCM [84713012-2] N�O PARAMETRIZADO PARA OPERA��O [100 - Venda] - FINALIDADE [Consumo] - GRUPO TRIBUT�RIO [OPERA��O � N�O CONTRIBUINTE].;OK;NCM [84713012-2] N�O PARAMETRIZADO PARA OPERA��O [100 - Venda] - FINALIDADE [Consumo] - GRUPO TRIBUT�RIO [OPERA��O � N�O CONTRIBUINTE].;;;;5;2018-08-01 15:11:38.290;2018-08-01 15:10:40.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253272;1;3;252714;269264;29;30523059;177917;OK;OK;OK;;;;4;2018-08-01 15:06:28.540;2018-08-01 15:05:41.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253271;1;3;252713;269263;29;30522088;177916;OK;OK;OK;;;;4;2018-08-01 15:06:27.167;2018-08-01 15:05:41.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253270;1;3;252712;269262;29;30522820;177915;OK;OK;OK;;;;4;2018-08-01 15:06:25.887;2018-08-01 15:05:40.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253269;4;28;252711;269266;26;80141000005QDKSAA4;504362;OK;OK;OK;;;;4;2018-08-01 15:06:15.903;2018-08-01 15:05:40.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253268;4;28;252710;269265;22;80141000005QDKRAA4;111073;OK;OK;OK;;;;4;2018-08-01 15:06:14.327;2018-08-01 15:05:39.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253267;1;32;252709;269259;222;30524751;15660;OK;OK;OK;;;;4;2018-08-01 15:01:34.060;2018-08-01 15:00:34.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253266;1;24;252708;269261;29;13200939;;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 15:01:29.693;2018-08-01 15:00:34.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253265;1;24;252707;269260;26;13189521;;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 15:01:26.790;2018-08-01 15:00:34.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253264;1;3;252706;269258;29;30505000;177912;OK;OK;OK;;;;4;2018-08-01 14:51:48.193;2018-08-01 14:51:34.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253263;1;32;252705;269256;222;30524564;15659;OK;OK;OK;;;;4;2018-08-01 14:51:44.543;2018-08-01 14:50:34.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253262;1;38;252704;269255;222;30524378;15658;OK;OK;OK;;;;4;2018-08-01 14:51:41.360;2018-08-01 14:50:33.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253261;1;24;252703;269254;29;13200939;;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 14:46:21.983;2018-08-01 14:45:35.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253260;1;24;252702;269253;26;13189521;;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 14:46:19.800;2018-08-01 14:45:35.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253259;1;16;252701;268896;222;30440898;15657;OK;OK;OK;;;;4;2018-08-01 14:41:41.203;2018-08-01 14:40:33.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253258;1;18;252700;269252;222;30524375;15656;OK;OK;OK;;;;4;2018-08-01 14:41:39.970;2018-08-01 14:40:33.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253257;1;16;252699;269251;222;30524181;15655;OK;OK;OK;;;;4;2018-08-01 14:41:38.740;2018-08-01 14:40:32.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253256;1;38;252698;269250;222;30524380;15654;OK;OK;OK;;;;4;2018-08-01 14:41:37.630;2018-08-01 14:40:32.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253255;1;19;252697;269247;222;30523061;15653;OK;OK;OK;;;;4;2018-08-01 14:31:39.897;2018-08-01 14:30:32.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253254;1;16;252696;269246;222;30523991;15652;OK;OK;OK;;;;4;2018-08-01 14:31:38.350;2018-08-01 14:30:31.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253253;1;24;252695;269249;29;13200939;;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 14:31:20.520;2018-08-01 14:30:31.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253252;1;24;252694;269248;26;13189521;;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 14:31:18.507;2018-08-01 14:30:31.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253251;1;16;252693;269245;222;30523997;15651;OK;OK;OK;;;;4;2018-08-01 14:21:44.317;2018-08-01 14:21:30.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253250;1;3;252692;269244;29;30503824;177909;OK;OK;OK;;;;4;2018-08-01 14:21:42.493;2018-08-01 14:20:31.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
